	0	1
73	Щепочка такая тощая , поток такой большой , щепочка такая невесомая , громады так велики , щепочка такая податливая , валуны и бревна и плоты и сорванные с мест деревья такие устремленные .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
74	Как только репутация Горбачева падает , — начинает снова разыгрываться карта Лигачева , словно для того , чтобы либеральные силы ( или демократические ) опять сомкнулись вокруг Горбачева , отбросив сомнения .	O O O B-PER O O O O O O O B-PER O O O O O O O O O O O O O O O B-PER O O O O
75	На месте точек не помню , да и верно ли это , во всяком случае что то в этом роде .	O O O O O O O O O O O O O O O O O O O O O
76	Союза не будет ...	O O O O
77	Продолжение съезда .	O O O
78	Часто навещает Борис Никол . , Скибина В . доит козу .	O O B-PER I-PER I-PER O B-PER I-PER I-PER O O O
79	А это ужасно , когда жалко главу государства .	O O O O O O B-CHAR I-CHAR O
80	Отметила ножовкой сухие сучья у смородины и в саду у слив .	O O O O O O O O B-LOC O O O
81	Если найдете , то я приеду и посмотрю на него .	O O O O O O O O O O O
82	А ему все : « черный ящик » народ уже включать не хочет — настолько жизнь оттуда ужасна и безнадежна .	O O O O O O O O B-CHAR O O O O O O O O O O O O
83	Вечером там на ужине его опять встретил говорит вроде на машину посадят .	O O O O O O O O O O O O O
84	Опять очереди и давка , школы и уроки .	O O O O O B-FAC O O O
85	Раз ты такой гуманист в Вене , и в ООН и вообще , думай , когда тебя « просят » пожертвовать еще человеческими жизнями .	O O O O O B-LOC O O O B-ORG O O O O O O O O O O O O O O O
86	На Небе ?	O O O
87	Любимов : « Из этой страны ( России ) актеры всегда стремились уехать ( ?!! ) .	B-PER O O O O O O B-LOC O B-CHAR O O O O O O O
88	Очень нелегкой была жизнь .	O O O O O
89	Того самого , кто подарил нам квартиру .	O O O O O O O O
90	Обед в колхозе « Москва » .	O O B-ORG I-ORG I-ORG I-ORG O
91	01. 87 . Здравствуйте дорогие , милые наши !	O O O O O O O O O
92	И как же мне быть теперь с работой реставратора .	O O O O O O O O B-CHAR O
93	Лишь бы к « духам » не попал .	O O O O B-MISC O O O O
94	Это сама по себе интересная линия , она не слишком тщательно выписана , она не содержит откровений , но ее бы вполне хватило .	O O O O O O O O O O O O O O O O O O O O O O O O
95	Называется « Сколько можно испытывать нас на прочность » .	O O O O O O O O O O
96	— Звоните по всем , где шофер ?	O O O O O O B-CHAR O
97	Ведется самая настоящая партизанская война , которую не смог выиграть ни Наполеон в Испании и в России , ни Гитлер в оккупированной его войсками Европе либо в России .	O O O O O O O O O O O B-PER O B-LOC O O B-LOC O O B-PER O O O O B-LOC O O B-LOC O
98	Работа над текстом Лунина в Лит . памятниках .	O O O B-PER O O O O O
99	Одно понял , праздник , и не менее радостный , чем наш , хотя и без елки .	O O O O O O O O O O O O O O O O O O
100	Неужели не понимают , что скачок из рабского сегодня в полностью демократическое завтра сулит катастрофу .	O O O O O O O O O O O O O O O O
101	Ганс знает кроме своего языка английский и немецкий , 7 лет он прожил в ФРГ .	B-PER O O O O O O O O O O O O O B-LOC O
102	Бережет их .	O O O
103	Выступление Ярина от Урала — что-де как вы смеете , мы — на Урале мечтаем о такой жизни , как у вас .	O B-PER O B-LOC O O O O O O O O O B-LOC O O O O O O O O O
104	Да и все вывезенные оттуда советники очень сильно похудели .	O O O O O B-CHAR O O O O
105	Но времена Чкалова прошли , и мы просто сожгли пару лишних тонн топлива на повторном заходе .	O O B-PER O O O O O O O O O O O O O O
106	Встреча в аэропорту .	O O B-FAC O
107	Пообедали не важно и теперь все отдыхают через час на смену .	O O O O O O O O O O O O
108	Но на самом деле все было по-другому : я писал , а потом придумывал , чтобы оправдать написанное .	O O O O O O O O O O O O O O O O O O O
109	А не нравится — уходи .	O O O O O O
110	К счастью , больной утром был в порядке .	O O O B-CHAR O O O O O
111	Потом на ихнем автобусе уехал в часть .	O O O O O O O O
112	109 . То же с багателлями .	O O O O O O O
113	В республиках шел тот же процесс — на детской и юношеской теме дебютировали нынешние лидеры национального кино : Р . Чхеидзе , Т . Абуладзе , О . Иоселиани , И . Ишмухамедов , Т . Океев , А . Жебрюнас и т . д .	O B-LOC O O O O O O O O O O O O B-CHAR O O O B-PER I-PER I-PER O B-PER I-PER I-PER O B-PER I-PER I-PER O B-PER I-PER I-PER O B-PER I-PER I-PER O B-PER I-PER I-PER O O O O O
114	Лестница мраморная , по мрамору спускается ковер под прижимными стержнями .	O O O O O O O O O O O
115	Формирования мятежников вокруг Кандагара почувствовали , что их руки развязаны .	O B-CHAR O B-LOC O O O O O O O
116	Недаром говорят : какая обстановка в Кандагаре — такая и во всем Афганистане .	O O O O O O B-LOC O O O O O B-LOC O
117	Здесь так : не мы их , так они нас » .	O O O O O O O O O O O O
118	Следующая очередь ударила в деревянную скамейку , и только щепки упали от этого мирного предмета .	O O O O O O O O O O O O O O O O
119	Заснял целую диапозитивную пленку и я .	O O O O O O O
120	А мы мешаем , говорим : Не води в дом !	O O O O O O O O O O O
121	Идет шепоток о симуляции , недостойный такой шепоток … но такова наша ведомственная действительность .	O O O O O O O O O O O O O O O
122	В провинциальном комитете холодно .	O B-FAC I-FAC O O
123	Раздумья о вечном .	O O O O
124	Мягкие .	O O
125	Давай , Анатолий , их всех объединять .	O O B-PER O O O O O
126	Вроде без нажима спросил , и я спокойно ответил , что отдохнул и набрался .	O O O O O O O O O O O O O O O
127	Приятно здесь побыть один на один с собой , а лучше с Богом , если дана в него вера .	O O O O O O O O O O O O B-PER O O O O O O O
128	На самом деле .	O O O O
129	Саша сказал Вене , что все уже давно продались и даже ...	B-PER O B-PER O O O O O O O O O
130	Один Витя не все ел , а еще и собирал в пакет нам на обед .	O B-PER O O O O O O O O O O O O O O
131	Им весело , шумно , озорно .	O O O O O O O
132	Опять пишут о Пелтиере .	O O O B-PER O
133	Слушала ответы на вопросы студентов Горбачева и Рыжкова .	O O O O B-CHAR B-PER O B-PER O
134	Хама надо жалеть .	B-CHAR O O O
135	После « Марафона » мы смотрели фильм « Дети Таймс-сквера » .	O O O O O O O O B-CHAR O O O
136	Даже сказано , что трагически оборвалась его жизнь .	O O O O O O O O O
137	Высоцкий своими песнями мог взорвать не один псевдомонумент .	B-PER O O O O O O O O
138	( Кроме того , утвердили у Хейфица : и меня , и Лену . )	O O O O O O B-PER O O O O O B-PER O O
139	Вскоре на машинах приехали наши писатели и гости .	O O O O O O O O O
140	Он давно не видел меня в этой роли .	O O O O O O O O O
141	Рассматривался долго готовившийся вопрос , в сущности раскрывавший и углублявший одобренную Вторым съездом в декабре 1989 года программу Правительства « О мерах по оздоровлению экономики , этапах экономической реформы и подходах к разработке 13-го пятилетнего плана » , по докладу Н . И . Рыжкова .	O O O O O O O O O O O O O O O O O O B-ORG O O O O O O O O O O O O O O O O O O O O O B-PER I-PER I-PER I-PER I-PER O
142	Черномазых и тут полно .	B-CHAR O O O O
143	Слышен гул , все одновременно говорят , спокойно , тихо , гортанно .	O O O O O O O O O O O O O
144	Концерт вечером , но уже сейчас ощущение , будто на эшафот собрался .	O O O O O O O O O O O O O
145	С dur и рапсодия — * нет . * * Дебюсси . * Плохо записано , плохой рояль , исполнение среднее — * нет . * * Шопен . * Показалось , что неплохо .	O O O O O O O O O O B-PER O O O O O O O O O O O O O O O O B-PER O O O O O O O
146	Получил от Николая , Андрея и Доченьки письма .	O O B-PER O B-PER O B-CHAR O O
147	Станция показалась неожиданно из за сосен , сначала красно-белая труба которую мы привыкли видеть по телевизору . а потом и вся громадина вся белая когда то очень красивая .	B-FAC O O O O O O O O O O O O O O O O O O O O O O O O O O O O
148	Многое в моем романе ей не нравится .	O O O O O O O O
149	ЛОЖЬ — это когда человек , зная , как должно быть на самом деле , — защищается официальной логикой .	O O O O O O O O O O O O O O O O O O O O
150	Все наши по три часа сбивали щиты для настилов .	O O O O O O O O O O
151	> ❊❊❊ > Раз Клява слушал радио « СВОБОДА » > И не подозревал он в тот момент , — > Что от всего латышского народа > Остался он один — интеллигент .	O O O O B-PER O B-ORG I-ORG I-ORG I-ORG O O O O O O O O O O O O O O O O O O O O O B-CHAR O
152	Те , которые имеют знаки отличия и ордена , должны получать положенный им на это пенсион .	O O O O O O O O O O O O O O O O O
153	Чувства : спокойствие .	O O O O
154	Шеф бросается запирать дверь .	B-CHAR O O O O
155	Сам В . Г . отличается легкостью и пониманием .	O B-PER I-PER I-PER I-PER O O O O O
156	Много тонкости , наблюдательности , изысканности , но , * как * * ни * * странно , * переизбыток слов , переизбыток культурных ассоциаций делает эту прозу несколько безвкусной .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
157	Потом была Пятницкая улица , Черниговский переулок , была Третьяковка с выставкой картин В . Л . Серова .	O O B-LOC I-LOC O B-LOC I-LOC O O B-FAC O O O O O O O B-PER O
158	Очень трудно никого не осуждать .	O O O O O O
159	Зверьки ушли под снег у ствола ольхи .	O O O O O O O O
160	От нас , много повидавших , ждать восторга трудно .	O O O O O O O O O O
161	В последнюю минуту , когда билеты и деньги были уже на руках , не пришло подтверждение .	O O O O O O O O O O O O O O O O O
162	Позвонили куда-то , отпустили .	O O O O O
163	Его взгляд означал смерть .	O O O O O
164	Лекции .	O O
165	Вчера Жукова снова дозвонилась до Любимова , и он сказал , что заявление напишет на имя Громыко .	O B-PER O O O B-PER O O O O O O O O O O B-PER O
166	Ко всем равнодушен .	O O O O
167	Вот счастье — оторвать себя от письменного стола или мрачного ( двуцветного ) телевизора и неразумно , как нельзя более невовремя махнуть в лес !	O O O O O O O O O O O O O O O O O O O O O O O O O
168	Ясно , в чью пользу будет « президент » .	O O O O O O O B-CHAR O O
169	Встретил там опять Бориса , проходит стажировку будет возить деток .	O O O B-PER O O O O O B-CHAR O
170	Наконец артиллерия пристрелялась , и слышатся восторженные голоса : « Так их , так !	O O O O O O O O O O O O O O O
171	Пока ехали в Текстильщики , исчезло солнце и полил дождь .	O O O B-LOC O O O O O O O
172	Утром позвонила плачущая Анечка Фелюрская — у них под окнами опять возводят баррикады .	O O O B-PER I-PER O O O O O O O O O
173	« Нормально » , — отвечает Эдвин . Гуляли в Коломенском с Эдвином и Наташей Шуттэ .	O O O O O O B-PER O O O B-LOC O B-PER O B-PER I-PER O
174	Это — шитье золотом и русская деревянная скульптура , пушка Пугачева , флаг Наполеоновской армии , произведения народного искусства .	O O O O O O O O O O B-PER O O O O O O O O O
175	Четыре аккуратные бабушки сидят на отдельных скамьях .	O O B-CHAR O O O O O
176	Но только на выхадные .	O O O O O
177	Не зная , что мать уже давно ( 31.05 . ) из бол-цы дома , он проехал туда навестить её , а потом к нам .	O O O O B-CHAR O O O O O O O O O O O O O O O O O O O O O
178	Имеется множество способов увильнуть от выбора .	O O O O O O O
179	Вообще , слишком много слухов , как в добрые старые времена .	O O O O O O O O O O O O
180	В районе горла и груди .	O O O O O O
181	Политическая жизнь Горбачева , видимо , продолжится в новом качестве , и я не хочу спешить с подведением ее полных итогов .	O O B-PER O O O O O O O O O O O O O O O O O O O
182	Закуски так обильны , что после них мы сразу перешли к десерту .	O O O O O O O O O O O O O
183	Разделение Германии было неестественным и , по моему убеждению , должно быть аннулировано и чем скорее , тем лучше при условии , конечно , что в ГДР пройдут настоящие свободные выборы .	O B-LOC O O O O O O O O O O O O O O O O O O O O O O O O B-LOC O O O O O
184	— Ну , чё , сынок , поехали ?	O O O O O B-CHAR O O O
185	Оригинальное не столько построение образов , а их интенсивность .	O O O O O O O O O O
186	"Кстати , уверен , это новый Норинский < com id = "" 1475945221490 "" / > , КГБ опять имеет тут шанс отличиться ."	O O O O O O B-PER O O O O O O O O O O B-ORG O O O O O O
187	Поэтому гуманитарные науки и не рассматривают самих себя как продукт творчества .	O O O O O O O O O O O O
188	Облака .	O O
189	Награждена орденом В . И . Ленина , живет на Октябрьском проспекте ( дом 52 , кв . 21 ) .	O O B-PER I-PER I-PER I-PER I-PER O O O B-LOC I-LOC I-LOC I-LOC I-LOC I-LOC I-LOC I-LOC I-LOC I-LOC O
190	После ужина в клубе концерт я не пошел сегодня намаялся , давно я столько не работал .	O O O B-FAC O O O O O O O O O O O O O
191	Надо только понять будущим исследователям психологии людей в период т . н . перестройки : какой же гигантской силы пресс советской действительности нас плющил — а мы выжили !	O O O O B-CHAR O O O O O O O O O O O O O O O O O O O O O O O O
192	Надо бы кое-что выписать .	O O O O O
193	Жора пыжился невероятно .	B-PER O O O
194	Наконец договорились с частником , который взялся довезти нас до места за 40 рублей .	O O O O O O O O O O O O O O O
195	Вот оно было , « вчера » .	O O O O O O O O
196	Вчера я смотрел М . С . в Красноярске по Т V .	O O O B-PER I-PER I-PER I-PER O B-LOC O O O O
197	Вчера ночь без единого выстрела из кишлака .	O O O O O O O O
198	Ну а если дым в кабине , то я уже обо всем этом писал выше , в связи с Сыктывкаром , с катастрофой Ту-134 .	O O O O O O O O O O O O O O O O O O O B-LOC O O O O O
199	Обидно за старика : все отдал авиации , в том числе и здоровье .	O O B-CHAR O O O O O O O O O O O
200	Ну а если не пожелал войти ?	O O O O O O O
201	Под вечер маленький Женя сам пожаловал к нам в гости , разумеется , на руках матери .	O O O B-PER O O O O O O O O O O O B-CHAR O
202	В . Востротин тогда еще сказал , что теперь этому майору можно не завидовать .	B-PER I-PER I-PER O O O O O O O B-CHAR O O O O
203	Мы бросили монеты , чтобы вернуться .	O O O O O O O
204	Они оказались неожиданными даже для меня : Ельцин получил более 90 % голосов !!	O O O O O O O B-PER O O O O O O
205	Вот уже второй месяц полк защитников революции из Кабула днем и ночью охранял важные объекты в городе , обеспечивал общественную безопасность на улицах , а зарплата личному составу еще не выдавалась .	O O O O O O O O B-LOC O O O O O O O B-LOC O O O O O B-LOC O O O O O O O O O
206	Конечно , Посетитель наивен , ну уйдет Казьмин с поста , а на его место придет другой запятнанный человек , да тот же Ермаков , который достаточно ловок и силен , и уничтожил компрометирующие документы .	O O B-CHAR O O O O B-PER O O O O O O O O O O B-CHAR O O O O B-PER O O O O O O O O O O O O
207	Теперь все ( или многое ) будет зависеть от меня самой .	O O O O O O O O O O O O
208	Несомненно , вера эта всегда бывает обманута .	O O O O O O O O
209	М . С . уговаривал его встретиться вдвоем , втроем + Кравчук , вчетвером + Назарбаев .	B-PER I-PER I-PER I-PER O O O O O O O B-PER O O O B-PER O
210	** ( вт . ) : ** Василя нет !	O O O O O O O B-PER O O
211	Третьей была Физика .	O O O O
212	Даже похвала меня не очень трогает — не в этом смысл жизни .	O O O O O O O O O O O O O
213	Но к 9 ти приехали Сашка с Вовкой и свозили меня в столовую в порт .	O O O O O B-PER O B-PER O O O O B-FAC O B-FAC O
214	* Швейцария * * живет * * в * * сердце * * и * * в * * душе * * Алены . * < ... > Дома в 4 часа .	O B-LOC O O O O O O O O O O O O O O O O O O O O B-PER O O O O O O O O O O
215	У Игоря сегодня кончился срок содержания под стражей .	O B-PER O O O O O O O
216	Если « средний пилот » перелетит в Сочи метров 300-400 ( на оценку 4 ! ) , а по графику для посадки у него потребная длина ВПП проходит тютелька в тютельку 2200 метров , то в конце пробега , на скорости 130 , ему придется решать трудную задачу : выключать ? не выключать ? держать реверс до полной остановки ? выпорют ? не выпорют ?	O O O O O O O B-LOC O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
217	Теперь уже не отлучишься из полка .	O O O O O O O
218	А бабы ?!	O B-CHAR O
219	Зачем он так говорит ?	O O O O O
220	У меня жгло глаза , как после сварки .	O O O O O O O O O
221	Полина упорно молчит .	B-PER O O O
222	Ахмат Наби обещал помочь и дать ответ через 3 дня .	B-PER I-PER O O O O O O O O O
223	В Чернобыле долго стояли на перегрузке не было автобуса .	O B-LOC O O O O O O O O
224	Слуги его были его друзьями .	B-CHAR O O O B-CHAR O
225	Читаю роман Солженицына « Октябрь 16—го » — обстановка , политическая , экономическая , в народе — ** один ** ** к ** ** одному ** ** с ** ** нашим ** ** временем ! ** Политические интриги , воровство , спекуляции , разные аферы , вот только мафии ещё нет , а , может быть , только слова этого не было ?	O O B-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
226	В Иванове у Виталия Федоровича , попытаюсь пройти курс в барокамере .	O B-LOC O B-PER I-PER O O O O O O O
227	Она продолжалась с 14 до 15 , вел Карабасов , секретарь горкома , доктор наук , он мне понравился : все четко , ясно и определенно .	O O O O O O O O B-PER O B-CHAR O O B-CHAR I-CHAR O O O O O O O O O O O O
228	Когда они это осознали , то быстро встали .	O O O O O O O O O
229	Мы — за Ельцина .	O O O B-PER O
230	Сегодня Крещение .	O O O
231	Настроение — работать .	O O O O
232	А потом взорвался в овациях .	O O O O O O
233	А остальное — потом .	O O O O O
234	И полтора часа с ним сидел , доказывая , что « курс неизменен » , но нужно стабилизировать ...	O O O O O O O O O O O O O O O O O O O
235	А мы три часа насыщались архитектурными и прочими красотами , начав с быв . монастыря Петра и Павла Петра Павла .	O O O O O O O O O O O O O O B-FAC I-FAC I-FAC I-FAC B-PER B-PER O
236	Для нас передачи и наш футбол - это ниточка , которая связывает нас с нормальной жизнью .	O O O O O O O O O O O O O O O O O
237	Мы перебрались в имение .	O O O O O
238	Здесь есть библиотека .	O O B-FAC O
239	— До Шинданда возьмете ?	O O B-LOC O O
240	Ведь путешествие наше самое поверхностное .	O O O O O O
241	И ехал в вагоне подавленный , читал про репрессированного Тухачевского , но читалось плохо — всё стоял перед глазами этот мальчик с грустным лицом .	O O O O O O O O B-CHAR B-PER O O O O O O O O O O B-CHAR O O O O
242	Цивилизация пережила две коренных ломки .	O O O O O O
243	Где будем воевать , пока неясно .	O O O O O O O
244	Почитал химию за 10-ый класс .	O O O O O O
245	Горбачёв сидит взаперти в Форосе .	B-PER O O O B-LOC O
246	Жаль , что не было путевки в Алушту : там по сравнению с Ялтой — рай , тишина и свобода от розовой массы человеческого тела на пляже .	O O O O O O O B-LOC O O O O O B-LOC O O O O O O O O O O O O O O
247	Но не сделал никакого намека , попытки разубедить меня или задержать мою отставку .	O O O O O O O O O O O O O O
248	Состояние неопределенности , но покоя .	O O O O O O
249	Очень ей спектакль понравился , так горячо и долго она его вспоминала , что я заснуть не мог , а ехать надо было за рулем во Внуково , Ну , ничего .	O O O O O O O O O O O O O O O O O O O O O O O O O O B-FAC O O O O O
250	Просидел у них на даче час-полтора , разговоры , как всегда , о том о сем .	O O O O O O O O O O O O O O O O O
251	На нем , по сути дела , ничего решено не было .	O O O O O O O O O O O O
252	Они постоянно горят на земле , а при запуске последовательно гаснут по мере того , как параметры двигателя приходят в норму .	O O O O O O O O O O O O O O O O O O O O O O
253	Пошли к штабу .	O O B-FAC O
254	Выпустил бы хоть интерцепторы — так нет : на 3000 гасит скорость с 575 до 500 в горизонтальном полете без интерцепторов .	O O O O O O O O O O O O O O O O O O O O O O
255	Когда выходили на дорогу , вперед выдвигался танк с тралом .	O O O O O O O O O O O
256	Филатову ?	B-PER O
257	Попов не явился , так как ему « не рекомендовала » его партия — « Демороссы » ...	B-PER O O O O O O O O O O O O O O O O O
258	Сразу после обеда мы попрощались .	O O O O O O
259	Надо не переступить черту , не войти в федерализацию , иначе произойдет раскол партии .	O O O O O O O O O O O O O O O
260	Мы находимся где-то посредине между ними и Германией , Чехословакией , Польшей .	O O O O O O O B-LOC O B-LOC O B-LOC O
261	Назаров , Бобрынина в один голос …	B-PER O B-PER O O O O
262	Нет достойного варианта .	O O O O
263	А потом , когда уже до конца дня оставалось меньше часа , позвонил начальник и сказал , что я спешным порядком должна перенести куда-нибудь ценные вещи из стола , а стол вынесут в коридор , потому что на следующей неделе в комнате будет ремонт .	O O O O O O O O O O O O O B-CHAR O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
264	Значит , не надо отдавать все авиации .	O O O O O O O O
265	Затем летим в Гданьск	O O O B-LOC
266	Ужас какую жизнь прожили , жуть .	O O O O O O O
267	И данные РСБН вдруг тоже показали , что мы за какие-то 5-7 минут уклонились влево на 50 километров !	O O B-ORG O O O O O O O O O O O O O O O O
268	Первый раз « руководители партии » оказались на втором месте .	O O O B-CHAR I-CHAR O O O O O O
