,tokens,BIO_str,BIO_nums,BIO_list
42,Сегодня целый день шел снег и мы измазались как поросята наверное наступила зима .,O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
44,"Влюбленность , стремление — странное чувство .",O O O O O O O,"[10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
45,Сегодня пришел первый « спецвыпуск » журнала « Урал » с двумя детективами .,O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
46,"У меня свободный день , и я использую его для обдумывания плана работы в Кандагаре по обеспечению поддержки Наджиба в провинциях зоны ответственности « Юг » .",O O O O O O O O O O O O O O O O O O B-PER O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 6, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
47,Вышел к половине девятого на пристройку .,O O O O O O O,"[10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
49,На обратном пути заехали в Дом пионеров .,O O O O O B-FAC I-FAC O,"[10, 10, 10, 10, 10, 4, 5, 10]","['O', 'O', 'O', 'O', 'O', 'B-FAC', 'I-FAC', 'O']"
50,"Судя по тостам и выступлениям П . Петрова и И . Желева , они противники перестройки и особенно возмущены развалом союза стран Варшавского пакта .",O O O O O B-PER I-PER I-PER O B-PER I-PER I-PER O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 6, 7, 7, 10, 6, 7, 7, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'I-PER', 'O', 'B-PER', 'I-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
51,Никто ничего не знает .,O O O O O,"[10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O']"
52,"Идут все , не зная куда , просто так бродят .",O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
53,"Сейчас там 35 ребят из Гульджана , фабрики , Домана .",O O O B-CHAR O O O O O O O,"[10, 10, 10, 8, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'B-CHAR', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
54,"Ты , Георгий , говоришь : « мы — такие же » ...",O O B-PER O O O O O O O O O O,"[10, 10, 6, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
55,В городе убили двух военных .,O B-LOC O O B-CHAR O,"[10, 0, 10, 10, 8, 10]","['O', 'B-LOC', 'O', 'O', 'B-CHAR', 'O']"
57,Мне — брелок .,O O O O,"[10, 10, 10, 10]","['O', 'O', 'O', 'O']"
58,"Вечером ходил в роту к землякам они приезжали ночевать , поболтали о том о сем стало веселее на душе .",O O O O O B-CHAR O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 8, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'B-CHAR', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
59,Кто-то неуверенно насчёт милиции .,O O O O O,"[10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O']"
61,"« А це значить , — говорив батько , — що за 20 років можна одержати стільки грошей , що у колгоспі і за сто років не заробиш .",O O O O O O O B-CHAR O O O O O O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 8, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CHAR', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
62,Рутина .,O O,"[10, 10]","['O', 'O']"
63,"Основное возражение заключалось в том , что эта организация и ДОМА будут иметь одну и ту же цель .",O O O O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
65,"« Danke schön , danke schön ! » — с большим чувством говорю я .",O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
66,Пусть себе летит к маме .,O O O O B-CHAR O,"[10, 10, 10, 10, 8, 10]","['O', 'O', 'O', 'O', 'B-CHAR', 'O']"
68,Только прежде сами подпишите и пусть Малик-Кази подпишет договор не обстреливать военную технику и солдат на ваших землях .,O O O O O O B-PER O O O O O O O B-CHAR O O O O,"[10, 10, 10, 10, 10, 10, 6, 10, 10, 10, 10, 10, 10, 10, 8, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CHAR', 'O', 'O', 'O', 'O']"
70,"Тут же была позвана помощница , в Анюту влиты какие-то капли , измерено давление , и мы получили в подарок баночку от сердечных недугов .",O O O O O O O O O O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
71,"Наш день , который я всю жизнь буду помнить .",O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
72,"Горбясь и оскалив веселую пасть , он поддерживал руками на спине две серебряные створки раковины , между которыми была своеобразная серебряная ручка .",O O O O O O O O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
73,"Анюте полегчало , но на какое-то время её положили в другой комнате окончательно прийти в себя .",O O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
76,"Конечно , написано не собственной , а журналистской рукой , но личность присутствует , и эта личность — Ельцин .",O O O O O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
77,Очень вкусно иногда едим .,O O O O O,"[10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O']"
78,"Но у меня пока все нормально помылся , дали все белое носки кальсоны рубашки и чепчик ( можно людей пугать ) .",O O O O O O O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
79,Вот Северный — там полоса заложена правильно : 222 .,O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
80,"На « точках » в районе Карвангаха бывают дни , когда нельзя спокойно ходить по территории — стреляют .",O O O O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
81,"В конце узкой горизонтальной площадки прилепился домик из кирпича , низкий с узкими окнами — щелями для пулеметов .",O O O O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
82,Мы обеспечим вас научной работой .,O O O O O O,"[10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O']"
83,> — Вот те на ! — растерялся Незнайка — Неужели двигатель испортился ?,O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
84,Они никому не нужны и им никто не нужен .,O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
86,Для кого это ?,O O O O,"[10, 10, 10, 10]","['O', 'O', 'O', 'O']"
88,Полистал в книжном несколько сборников « Новое в зарубежной математике » .,O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
89,Выпало нам честь укладывать доски в кучу .,O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
90,"Кроме Саши с нами три солдата : азербайджанец , таджик Саид и узбекский туркмен .",O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
91,> Всё равно мы пить не бросим .,O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
92,Меньше места занимают .,O O O O,"[10, 10, 10, 10]","['O', 'O', 'O', 'O']"
93,"На Новый год , мы поедем ( наверное ) к Каплунам .",O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
95,"Всего помещений , кроме туалетной комнаты и комнаты для прихода в себя , 4 : маленькая комната ожидания , лаборатория , смотровая с гинекологическим креслом и кабинет , где масса книг , журналов , портрет доктора Штейнера .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
98,"Отсосали пробку из бронха , и смещение средостения уменьшилось .",O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
99,Вот почему ?,O O O,"[10, 10, 10]","['O', 'O', 'O']"
100,Множество общих знакомых .,O O O O,"[10, 10, 10, 10]","['O', 'O', 'O', 'O']"
101,Вот такая наша летная жизнь на данном этапе .,O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
103,"Кроме того что она дочь Ульянова , так она еще замужем за сыном Маркова .",O O O O B-CHAR B-PER O O O O O O B-CHAR B-PER O,"[10, 10, 10, 10, 8, 6, 10, 10, 10, 10, 10, 10, 8, 6, 10]","['O', 'O', 'O', 'O', 'B-CHAR', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CHAR', 'B-PER', 'O']"
104,Писал сочинение .,O O O,"[10, 10, 10]","['O', 'O', 'O']"
105,"После ужина вышли на балкон , откуда открывается прекрасный вид на старый город , смотрели сеанс цветомузыки .",O O O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
106,> Заеби меня совсем .,O O O O O,"[10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O']"
107,По дороге домой остановились в Приборске в кафе я купил сосисок горячих и шоколадку за 2 р .,O O O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
111,Да ничего не возьмешь .,O O O O O,"[10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O']"
113,"Ну , развалил , начал класть заново , сбивая с каждого кирпича засохший уже раствор .",O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
114,"Щепочка такая тощая , поток такой большой , щепочка такая невесомая , громады так велики , щепочка такая податливая , валуны и бревна и плоты и сорванные с мест деревья такие устремленные .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
116,"А сейчас уже 21 : 00 по копенгагенскому времени и станция уже закрылась . Сегодня наклеила « мишек » [ * наклейки , * * привезенные * * из * * Кпг , * * наклеены * * на * * первых * * трех * * тетрадях * * дневников * — Й . К . ] .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
117,"Вечером приезжал Марченко со своим приятелем Славой , радиоэлектронщиком , который женат на немке , правда , славянке , у них двое детей .",O O O O O O O O O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
